line	rxn	mol	mol_id	con_rxn	old_a	new_a
958	terminate	ribosome	89	terminate	2.00000000e+00	1.00000000e+00
959	elongate_3	ribosome	39	elongate_3	2.00000000e+00	1.00000000e+00
959	elongate_3	ribosome	39	terminate	1.00000000e+00	2.00000000e+00
960	elongate_2	ribosome	56	elongate_2	2.00000000e+00	1.00000000e+00
961	terminate	ribosome	39	terminate	2.00000000e+00	1.00000000e+00
962	initiate	ribosome	78	elongate_1	0.00000000e+00	1.00000000e+00
963	elongate_3	ribosome	52	elongate_3	1.00000000e+00	0.00000000e+00
963	elongate_3	ribosome	52	terminate	1.00000000e+00	2.00000000e+00
964	terminate	ribosome	74	terminate	2.00000000e+00	1.00000000e+00
964	terminate	ribosome	56	elongate_3	0.00000000e+00	1.00000000e+00
965	elongate_3	ribosome	56	elongate_3	1.00000000e+00	0.00000000e+00
965	elongate_3	ribosome	56	terminate	1.00000000e+00	2.00000000e+00
966	terminate	ribosome	56	terminate	2.00000000e+00	1.00000000e+00
967	initiate	ribosome	80	elongate_1	1.00000000e+00	2.00000000e+00
968	elongate_1	ribosome	78	elongate_1	2.00000000e+00	1.00000000e+00
968	elongate_1	ribosome	78	elongate_2	1.00000000e+00	2.00000000e+00
969	elongate_1	ribosome	80	elongate_1	1.00000000e+00	0.00000000e+00
969	elongate_1	ribosome	80	elongate_2	2.00000000e+00	3.00000000e+00
970	elongate_2	ribosome	78	elongate_2	3.00000000e+00	2.00000000e+00
970	elongate_2	ribosome	78	elongate_3	0.00000000e+00	1.00000000e+00
971	elongate_2	ribosome	80	elongate_2	2.00000000e+00	1.00000000e+00
972	elongate_3	ribosome	78	elongate_3	1.00000000e+00	0.00000000e+00
972	elongate_3	ribosome	78	terminate	1.00000000e+00	2.00000000e+00
973	elongate_2	ribosome	91	elongate_2	1.00000000e+00	0.00000000e+00
973	elongate_2	ribosome	91	elongate_3	0.00000000e+00	1.00000000e+00
974	initiate	ribosome	87	elongate_1	0.00000000e+00	1.00000000e+00
975	elongate_3	ribosome	91	elongate_3	1.00000000e+00	0.00000000e+00
975	elongate_3	ribosome	91	terminate	2.00000000e+00	3.00000000e+00
976	terminate	ribosome	91	terminate	3.00000000e+00	2.00000000e+00
977	terminate	ribosome	78	terminate	2.00000000e+00	1.00000000e+00
978	terminate	ribosome	52	terminate	1.00000000e+00	0.00000000e+00
978	terminate	ribosome	80	elongate_3	0.00000000e+00	1.00000000e+00
979	elongate_1	ribosome	87	elongate_1	1.00000000e+00	0.00000000e+00
979	elongate_1	ribosome	87	elongate_2	0.00000000e+00	1.00000000e+00
980	elongate_2	ribosome	87	elongate_2	1.00000000e+00	0.00000000e+00
980	elongate_2	ribosome	87	elongate_3	1.00000000e+00	2.00000000e+00
981	initiate	ribosome	28	elongate_1	0.00000000e+00	1.00000000e+00
982	elongate_3	ribosome	80	elongate_3	2.00000000e+00	1.00000000e+00
982	elongate_3	ribosome	80	terminate	0.00000000e+00	1.00000000e+00
983	terminate	ribosome	80	terminate	1.00000000e+00	0.00000000e+00
984	elongate_3	ribosome	87	elongate_3	1.00000000e+00	0.00000000e+00
984	elongate_3	ribosome	87	terminate	0.00000000e+00	1.00000000e+00
985	elongate_1	ribosome	28	elongate_1	1.00000000e+00	0.00000000e+00
985	elongate_1	ribosome	28	elongate_2	0.00000000e+00	1.00000000e+00
986	initiate	ribosome	9	elongate_1	0.00000000e+00	1.00000000e+00
987	terminate	ribosome	87	terminate	1.00000000e+00	0.00000000e+00
988	elongate_2	ribosome	28	elongate_2	1.00000000e+00	0.00000000e+00
988	elongate_2	ribosome	28	elongate_3	0.00000000e+00	1.00000000e+00
989	elongate_1	ribosome	9	elongate_1	1.00000000e+00	0.00000000e+00
989	elongate_1	ribosome	9	elongate_2	0.00000000e+00	1.00000000e+00
990	initiate	ribosome	29	elongate_1	0.00000000e+00	1.00000000e+00
991	elongate_1	ribosome	29	elongate_1	1.00000000e+00	0.00000000e+00
991	elongate_1	ribosome	29	elongate_2	1.00000000e+00	2.00000000e+00
992	initiate	ribosome	52	elongate_1	0.00000000e+00	1.00000000e+00
993	initiate	ribosome	64	elongate_1	1.00000000e+00	2.00000000e+00
994	elongate_1	ribosome	52	elongate_1	2.00000000e+00	1.00000000e+00
994	elongate_1	ribosome	52	elongate_2	2.00000000e+00	3.00000000e+00
995	elongate_2	ribosome	9	elongate_2	3.00000000e+00	2.00000000e+00
995	elongate_2	ribosome	9	elongate_3	1.00000000e+00	2.00000000e+00
996	elongate_3	ribosome	28	elongate_3	2.00000000e+00	1.00000000e+00
996	elongate_3	ribosome	28	terminate	0.00000000e+00	1.00000000e+00
997	elongate_3	ribosome	9	elongate_3	1.00000000e+00	0.00000000e+00
997	elongate_3	ribosome	9	terminate	1.00000000e+00	2.00000000e+00
998	elongate_1	ribosome	64	elongate_1	1.00000000e+00	0.00000000e+00
998	elongate_1	ribosome	64	elongate_2	2.00000000e+00	3.00000000e+00
999	terminate	ribosome	9	terminate	2.00000000e+00	1.00000000e+00
1000	elongate_2	ribosome	29	elongate_2	3.00000000e+00	2.00000000e+00
1000	elongate_2	ribosome	29	elongate_3	0.00000000e+00	1.00000000e+00
1001	terminate	ribosome	28	terminate	1.00000000e+00	0.00000000e+00
1003	initiate	ribosome	91	elongate_1	0.00000000e+00	1.00000000e+00
1004	elongate_2	ribosome	52	elongate_2	2.00000000e+00	1.00000000e+00
1004	elongate_2	ribosome	52	elongate_3	1.00000000e+00	2.00000000e+00
1005	elongate_2	ribosome	64	elongate_2	1.00000000e+00	0.00000000e+00
1005	elongate_2	ribosome	64	elongate_3	2.00000000e+00	3.00000000e+00
1005	elongate_2	ribosome	43	elongate_1	1.00000000e+00	2.00000000e+00
1006	elongate_1	ribosome	91	elongate_1	2.00000000e+00	1.00000000e+00
1006	elongate_1	ribosome	91	elongate_2	0.00000000e+00	1.00000000e+00
1007	elongate_1	ribosome	43	elongate_1	1.00000000e+00	0.00000000e+00
1008	elongate_2	ribosome	91	elongate_2	1.00000000e+00	0.00000000e+00
1008	elongate_2	ribosome	91	elongate_3	3.00000000e+00	4.00000000e+00
1009	elongate_3	ribosome	52	elongate_3	4.00000000e+00	3.00000000e+00
1009	elongate_3	ribosome	52	terminate	0.00000000e+00	1.00000000e+00
1010	initiate	ribosome	26	elongate_1	0.00000000e+00	1.00000000e+00
1011	elongate_3	ribosome	64	elongate_3	3.00000000e+00	2.00000000e+00
1011	elongate_3	ribosome	64	terminate	1.00000000e+00	2.00000000e+00
1011	elongate_3	ribosome	43	elongate_2	0.00000000e+00	1.00000000e+00
1012	initiate	ribosome	42	elongate_1	1.00000000e+00	2.00000000e+00
1013	elongate_3	ribosome	29	elongate_3	2.00000000e+00	1.00000000e+00
1013	elongate_3	ribosome	29	terminate	2.00000000e+00	3.00000000e+00
1014	elongate_2	ribosome	43	elongate_2	1.00000000e+00	0.00000000e+00
1015	terminate	ribosome	29	terminate	3.00000000e+00	2.00000000e+00
1016	initiate	ribosome	56	elongate_1	2.00000000e+00	3.00000000e+00
1017	terminate	ribosome	64	terminate	2.00000000e+00	1.00000000e+00
1017	terminate	ribosome	43	elongate_3	1.00000000e+00	2.00000000e+00
1018	elongate_3	ribosome	91	elongate_3	2.00000000e+00	1.00000000e+00
1018	elongate_3	ribosome	91	terminate	1.00000000e+00	2.00000000e+00
1019	elongate_1	ribosome	42	elongate_1	3.00000000e+00	2.00000000e+00
1019	elongate_1	ribosome	42	elongate_2	0.00000000e+00	1.00000000e+00
1020	elongate_1	ribosome	26	elongate_1	2.00000000e+00	1.00000000e+00
1020	elongate_1	ribosome	26	elongate_2	1.00000000e+00	2.00000000e+00
1021	elongate_1	ribosome	56	elongate_1	1.00000000e+00	0.00000000e+00
1021	elongate_1	ribosome	56	elongate_2	2.00000000e+00	3.00000000e+00
1022	elongate_2	ribosome	42	elongate_2	3.00000000e+00	2.00000000e+00
1022	elongate_2	ribosome	42	elongate_3	1.00000000e+00	2.00000000e+00
1023	elongate_3	ribosome	42	elongate_3	2.00000000e+00	1.00000000e+00
1023	elongate_3	ribosome	42	terminate	2.00000000e+00	3.00000000e+00
1024	terminate	ribosome	42	terminate	3.00000000e+00	2.00000000e+00
1025	elongate_3	ribosome	43	elongate_3	1.00000000e+00	0.00000000e+00
1025	elongate_3	ribosome	43	terminate	2.00000000e+00	3.00000000e+00
1026	terminate	ribosome	91	terminate	3.00000000e+00	2.00000000e+00
1027	terminate	ribosome	52	terminate	2.00000000e+00	1.00000000e+00
1028	elongate_2	ribosome	56	elongate_2	2.00000000e+00	1.00000000e+00
1028	elongate_2	ribosome	56	elongate_3	0.00000000e+00	1.00000000e+00
1029	terminate	ribosome	43	terminate	1.00000000e+00	0.00000000e+00
1030	elongate_2	ribosome	26	elongate_2	1.00000000e+00	0.00000000e+00
1030	elongate_2	ribosome	26	elongate_3	1.00000000e+00	2.00000000e+00
1031	initiate	ribosome	61	elongate_1	0.00000000e+00	1.00000000e+00
1032	elongate_3	ribosome	56	elongate_3	2.00000000e+00	1.00000000e+00
1032	elongate_3	ribosome	56	terminate	0.00000000e+00	1.00000000e+00
1033	elongate_3	ribosome	26	elongate_3	1.00000000e+00	0.00000000e+00
1033	elongate_3	ribosome	26	terminate	1.00000000e+00	2.00000000e+00
1034	initiate	ribosome	71	elongate_1	1.00000000e+00	2.00000000e+00
1035	initiate	ribosome	88	elongate_1	2.00000000e+00	3.00000000e+00
1036	elongate_1	ribosome	88	elongate_1	3.00000000e+00	2.00000000e+00
1036	elongate_1	ribosome	88	elongate_2	0.00000000e+00	1.00000000e+00
1037	terminate	ribosome	26	terminate	2.00000000e+00	1.00000000e+00
1038	elongate_1	ribosome	71	elongate_1	2.00000000e+00	1.00000000e+00
1038	elongate_1	ribosome	71	elongate_2	1.00000000e+00	2.00000000e+00
1039	elongate_2	ribosome	71	elongate_2	2.00000000e+00	1.00000000e+00
1039	elongate_2	ribosome	71	elongate_3	0.00000000e+00	1.00000000e+00
1040	elongate_1	ribosome	61	elongate_1	1.00000000e+00	0.00000000e+00
1040	elongate_1	ribosome	61	elongate_2	1.00000000e+00	2.00000000e+00
1041	terminate	ribosome	56	terminate	1.00000000e+00	0.00000000e+00
1042	initiate	ribosome	49	elongate_1	0.00000000e+00	1.00000000e+00
1043	elongate_2	ribosome	88	elongate_2	2.00000000e+00	1.00000000e+00
1043	elongate_2	ribosome	88	elongate_3	1.00000000e+00	2.00000000e+00
1044	elongate_3	ribosome	88	elongate_3	2.00000000e+00	1.00000000e+00
1044	elongate_3	ribosome	88	terminate	0.00000000e+00	1.00000000e+00
1045	initiate	ribosome	78	elongate_1	1.00000000e+00	2.00000000e+00
1046	elongate_2	ribosome	61	elongate_2	1.00000000e+00	0.00000000e+00
1046	elongate_2	ribosome	61	elongate_3	1.00000000e+00	2.00000000e+00
1047	elongate_1	ribosome	49	elongate_1	2.00000000e+00	1.00000000e+00
1047	elongate_1	ribosome	49	elongate_2	0.00000000e+00	1.00000000e+00
1048	elongate_3	ribosome	71	elongate_3	2.00000000e+00	1.00000000e+00
1048	elongate_3	ribosome	71	terminate	1.00000000e+00	2.00000000e+00
1049	terminate	ribosome	88	terminate	2.00000000e+00	1.00000000e+00
1050	elongate_3	ribosome	61	elongate_3	1.00000000e+00	0.00000000e+00
1050	elongate_3	ribosome	61	terminate	1.00000000e+00	2.00000000e+00
1051	terminate	ribosome	71	terminate	2.00000000e+00	1.00000000e+00
1053	elongate_1	ribosome	78	elongate_1	1.00000000e+00	0.00000000e+00
1053	elongate_1	ribosome	78	elongate_2	1.00000000e+00	2.00000000e+00
1055	elongate_2	ribosome	78	elongate_2	2.00000000e+00	1.00000000e+00
1055	elongate_2	ribosome	78	elongate_3	0.00000000e+00	1.00000000e+00
1056	elongate_3	ribosome	78	elongate_3	1.00000000e+00	0.00000000e+00
1056	elongate_3	ribosome	78	terminate	1.00000000e+00	2.00000000e+00
1057	elongate_2	ribosome	49	elongate_2	1.00000000e+00	0.00000000e+00
1057	elongate_2	ribosome	49	elongate_3	0.00000000e+00	1.00000000e+00
1058	initiate	ribosome	67	elongate_1	0.00000000e+00	1.00000000e+00
1059	elongate_1	ribosome	67	elongate_1	1.00000000e+00	0.00000000e+00
1059	elongate_1	ribosome	67	elongate_2	0.00000000e+00	1.00000000e+00
1060	elongate_3	ribosome	49	elongate_3	1.00000000e+00	0.00000000e+00
1060	elongate_3	ribosome	49	terminate	2.00000000e+00	3.00000000e+00
1061	elongate_2	ribosome	67	elongate_2	1.00000000e+00	0.00000000e+00
1062	initiate	ribosome	82	elongate_1	0.00000000e+00	1.00000000e+00
1063	terminate	ribosome	78	terminate	3.00000000e+00	2.00000000e+00
1063	terminate	ribosome	67	elongate_3	0.00000000e+00	1.00000000e+00
1064	initiate	ribosome	33	elongate_1	1.00000000e+00	2.00000000e+00
1065	initiate	ribosome	9	elongate_1	2.00000000e+00	3.00000000e+00
1066	elongate_1	ribosome	82	elongate_1	3.00000000e+00	2.00000000e+00
1066	elongate_1	ribosome	82	elongate_2	0.00000000e+00	1.00000000e+00
1067	terminate	ribosome	61	terminate	2.00000000e+00	1.00000000e+00
1068	elongate_1	ribosome	33	elongate_1	2.00000000e+00	1.00000000e+00
1068	elongate_1	ribosome	33	elongate_2	1.00000000e+00	2.00000000e+00
1069	terminate	ribosome	49	terminate	1.00000000e+00	0.00000000e+00
1070	elongate_2	ribosome	82	elongate_2	2.00000000e+00	1.00000000e+00
1070	elongate_2	ribosome	82	elongate_3	1.00000000e+00	2.00000000e+00
1071	elongate_3	ribosome	82	elongate_3	2.00000000e+00	1.00000000e+00
1071	elongate_3	ribosome	82	terminate	0.00000000e+00	1.00000000e+00
1072	elongate_2	ribosome	33	elongate_2	1.00000000e+00	0.00000000e+00
1072	elongate_2	ribosome	33	elongate_3	1.00000000e+00	2.00000000e+00
1073	elongate_3	ribosome	33	elongate_3	2.00000000e+00	1.00000000e+00
1073	elongate_3	ribosome	33	terminate	1.00000000e+00	2.00000000e+00
1074	elongate_3	ribosome	67	elongate_3	1.00000000e+00	0.00000000e+00
1074	elongate_3	ribosome	67	terminate	2.00000000e+00	3.00000000e+00
1076	terminate	ribosome	67	terminate	3.00000000e+00	2.00000000e+00
1077	elongate_1	ribosome	9	elongate_1	1.00000000e+00	0.00000000e+00
1077	elongate_1	ribosome	9	elongate_2	0.00000000e+00	1.00000000e+00
1078	terminate	ribosome	33	terminate	2.00000000e+00	1.00000000e+00
1079	elongate_2	ribosome	9	elongate_2	1.00000000e+00	0.00000000e+00
1079	elongate_2	ribosome	9	elongate_3	0.00000000e+00	1.00000000e+00
1080	terminate	ribosome	82	terminate	1.00000000e+00	0.00000000e+00
1081	elongate_3	ribosome	9	elongate_3	1.00000000e+00	0.00000000e+00
1081	elongate_3	ribosome	9	terminate	0.00000000e+00	1.00000000e+00
1082	initiate	ribosome	58	elongate_1	0.00000000e+00	1.00000000e+00
1083	initiate	ribosome	35	elongate_1	1.00000000e+00	2.00000000e+00
1084	elongate_1	ribosome	58	elongate_1	2.00000000e+00	1.00000000e+00
1084	elongate_1	ribosome	58	elongate_2	0.00000000e+00	1.00000000e+00
1085	initiate	ribosome	72	elongate_1	1.00000000e+00	2.00000000e+00
1087	terminate	ribosome	9	terminate	1.00000000e+00	0.00000000e+00
1088	initiate	ribosome	34	elongate_1	2.00000000e+00	3.00000000e+00
1089	elongate_1	ribosome	72	elongate_1	3.00000000e+00	2.00000000e+00
1089	elongate_1	ribosome	72	elongate_2	1.00000000e+00	2.00000000e+00
1090	initiate	ribosome	97	elongate_1	2.00000000e+00	3.00000000e+00
1091	elongate_1	ribosome	97	elongate_1	3.00000000e+00	2.00000000e+00
1091	elongate_1	ribosome	97	elongate_2	2.00000000e+00	3.00000000e+00
1092	elongate_1	ribosome	35	elongate_1	2.00000000e+00	1.00000000e+00
1092	elongate_1	ribosome	35	elongate_2	3.00000000e+00	4.00000000e+00
1093	elongate_2	ribosome	72	elongate_2	4.00000000e+00	3.00000000e+00
1093	elongate_2	ribosome	72	elongate_3	0.00000000e+00	1.00000000e+00
1094	elongate_2	ribosome	35	elongate_2	3.00000000e+00	2.00000000e+00
1094	elongate_2	ribosome	35	elongate_3	1.00000000e+00	2.00000000e+00
1096	elongate_1	ribosome	34	elongate_1	1.00000000e+00	0.00000000e+00
1096	elongate_1	ribosome	34	elongate_2	2.00000000e+00	3.00000000e+00
1097	elongate_3	ribosome	35	elongate_3	2.00000000e+00	1.00000000e+00
1097	elongate_3	ribosome	35	terminate	0.00000000e+00	1.00000000e+00
1098	terminate	ribosome	35	terminate	1.00000000e+00	0.00000000e+00
1099	elongate_2	ribosome	58	elongate_2	3.00000000e+00	2.00000000e+00
1099	elongate_2	ribosome	58	elongate_3	1.00000000e+00	2.00000000e+00
1100	initiate	ribosome	96	elongate_1	0.00000000e+00	1.00000000e+00
1101	initiate	ribosome	26	elongate_1	1.00000000e+00	2.00000000e+00
1102	elongate_2	ribosome	34	elongate_2	2.00000000e+00	1.00000000e+00
1102	elongate_2	ribosome	34	elongate_3	2.00000000e+00	3.00000000e+00
1103	initiate	ribosome	49	elongate_1	2.00000000e+00	3.00000000e+00
1104	elongate_1	ribosome	96	elongate_1	3.00000000e+00	2.00000000e+00
1104	elongate_1	ribosome	96	elongate_2	1.00000000e+00	2.00000000e+00
1105	elongate_3	ribosome	58	elongate_3	3.00000000e+00	2.00000000e+00
1105	elongate_3	ribosome	58	terminate	0.00000000e+00	1.00000000e+00
1106	elongate_3	ribosome	72	elongate_3	2.00000000e+00	1.00000000e+00
1106	elongate_3	ribosome	72	terminate	1.00000000e+00	2.00000000e+00
1107	elongate_2	ribosome	97	elongate_2	2.00000000e+00	1.00000000e+00
1107	elongate_2	ribosome	97	elongate_3	1.00000000e+00	2.00000000e+00
1107	elongate_2	ribosome	78	elongate_1	2.00000000e+00	3.00000000e+00
1108	elongate_1	ribosome	26	elongate_1	3.00000000e+00	2.00000000e+00
1108	elongate_1	ribosome	26	elongate_2	1.00000000e+00	2.00000000e+00
1109	initiate	ribosome	50	elongate_1	2.00000000e+00	3.00000000e+00
1110	elongate_2	ribosome	96	elongate_2	2.00000000e+00	1.00000000e+00
1110	elongate_2	ribosome	96	elongate_3	2.00000000e+00	3.00000000e+00
1111	elongate_1	ribosome	50	elongate_1	3.00000000e+00	2.00000000e+00
1111	elongate_1	ribosome	50	elongate_2	1.00000000e+00	2.00000000e+00
1112	elongate_2	ribosome	26	elongate_2	2.00000000e+00	1.00000000e+00
1112	elongate_2	ribosome	26	elongate_3	3.00000000e+00	4.00000000e+00
1113	elongate_1	ribosome	78	elongate_1	2.00000000e+00	1.00000000e+00
1114	elongate_3	ribosome	34	elongate_3	4.00000000e+00	3.00000000e+00
1114	elongate_3	ribosome	34	terminate	2.00000000e+00	3.00000000e+00
1115	terminate	ribosome	72	terminate	3.00000000e+00	2.00000000e+00
1116	terminate	ribosome	58	terminate	2.00000000e+00	1.00000000e+00
1117	elongate_2	ribosome	50	elongate_2	1.00000000e+00	0.00000000e+00
1117	elongate_2	ribosome	50	elongate_3	3.00000000e+00	4.00000000e+00
1118	terminate	ribosome	34	terminate	1.00000000e+00	0.00000000e+00
1119	elongate_1	ribosome	49	elongate_1	1.00000000e+00	0.00000000e+00
1119	elongate_1	ribosome	49	elongate_2	0.00000000e+00	1.00000000e+00
1120	elongate_2	ribosome	49	elongate_2	1.00000000e+00	0.00000000e+00
1120	elongate_2	ribosome	49	elongate_3	4.00000000e+00	5.00000000e+00
1121	elongate_3	ribosome	49	elongate_3	5.00000000e+00	4.00000000e+00
1121	elongate_3	ribosome	49	terminate	0.00000000e+00	1.00000000e+00
1122	elongate_3	ribosome	26	elongate_3	4.00000000e+00	3.00000000e+00
1122	elongate_3	ribosome	26	terminate	1.00000000e+00	2.00000000e+00
1123	elongate_3	ribosome	50	elongate_3	3.00000000e+00	2.00000000e+00
1123	elongate_3	ribosome	50	terminate	2.00000000e+00	3.00000000e+00
1124	elongate_3	ribosome	96	elongate_3	2.00000000e+00	1.00000000e+00
1124	elongate_3	ribosome	96	terminate	3.00000000e+00	4.00000000e+00
1125	terminate	ribosome	49	terminate	4.00000000e+00	3.00000000e+00
1126	terminate	ribosome	96	terminate	3.00000000e+00	2.00000000e+00
1127	terminate	ribosome	26	terminate	2.00000000e+00	1.00000000e+00
1128	terminate	ribosome	50	terminate	1.00000000e+00	0.00000000e+00
1129	elongate_3	ribosome	97	elongate_3	1.00000000e+00	0.00000000e+00
1129	elongate_3	ribosome	97	terminate	0.00000000e+00	1.00000000e+00
1129	elongate_3	ribosome	78	elongate_2	0.00000000e+00	1.00000000e+00
1130	initiate	ribosome	8	elongate_1	0.00000000e+00	1.00000000e+00
1131	elongate_2	ribosome	78	elongate_2	1.00000000e+00	0.00000000e+00
1132	terminate	ribosome	97	terminate	1.00000000e+00	0.00000000e+00
1132	terminate	ribosome	78	elongate_3	0.00000000e+00	1.00000000e+00
1133	initiate	ribosome	79	elongate_1	1.00000000e+00	2.00000000e+00
1134	elongate_1	ribosome	8	elongate_1	2.00000000e+00	1.00000000e+00
1134	elongate_1	ribosome	8	elongate_2	0.00000000e+00	1.00000000e+00
1135	elongate_2	ribosome	8	elongate_2	1.00000000e+00	0.00000000e+00
1135	elongate_2	ribosome	8	elongate_3	1.00000000e+00	2.00000000e+00
1136	elongate_3	ribosome	78	elongate_3	2.00000000e+00	1.00000000e+00
1136	elongate_3	ribosome	78	terminate	0.00000000e+00	1.00000000e+00
1137	elongate_1	ribosome	79	elongate_1	1.00000000e+00	0.00000000e+00
1137	elongate_1	ribosome	79	elongate_2	0.00000000e+00	1.00000000e+00
1138	elongate_3	ribosome	8	elongate_3	1.00000000e+00	0.00000000e+00
1138	elongate_3	ribosome	8	terminate	1.00000000e+00	2.00000000e+00
1139	initiate	ribosome	30	elongate_1	0.00000000e+00	1.00000000e+00
1140	terminate	ribosome	8	terminate	2.00000000e+00	1.00000000e+00
1141	terminate	ribosome	78	terminate	1.00000000e+00	0.00000000e+00
1142	initiate	ribosome	40	elongate_1	1.00000000e+00	2.00000000e+00
1143	elongate_1	ribosome	40	elongate_1	2.00000000e+00	1.00000000e+00
1143	elongate_1	ribosome	40	elongate_2	1.00000000e+00	2.00000000e+00
1144	elongate_2	ribosome	79	elongate_2	2.00000000e+00	1.00000000e+00
1144	elongate_2	ribosome	79	elongate_3	0.00000000e+00	1.00000000e+00
1145	elongate_3	ribosome	79	elongate_3	1.00000000e+00	0.00000000e+00
1145	elongate_3	ribosome	79	terminate	0.00000000e+00	1.00000000e+00
1146	terminate	ribosome	79	terminate	1.00000000e+00	0.00000000e+00
1147	elongate_1	ribosome	30	elongate_1	1.00000000e+00	0.00000000e+00
1147	elongate_1	ribosome	30	elongate_2	1.00000000e+00	2.00000000e+00
1149	elongate_2	ribosome	40	elongate_2	2.00000000e+00	1.00000000e+00
1149	elongate_2	ribosome	40	elongate_3	0.00000000e+00	1.00000000e+00
1150	elongate_2	ribosome	30	elongate_2	1.00000000e+00	0.00000000e+00
1150	elongate_2	ribosome	30	elongate_3	1.00000000e+00	2.00000000e+00
1150	elongate_2	ribosome	94	elongate_1	0.00000000e+00	1.00000000e+00
1151	initiate	ribosome	88	elongate_1	1.00000000e+00	2.00000000e+00
1152	elongate_3	ribosome	30	elongate_3	2.00000000e+00	1.00000000e+00
1152	elongate_3	ribosome	30	terminate	0.00000000e+00	1.00000000e+00
1153	terminate	ribosome	30	terminate	1.00000000e+00	0.00000000e+00
1154	initiate	ribosome	12	elongate_1	2.00000000e+00	3.00000000e+00
1155	elongate_3	ribosome	40	elongate_3	1.00000000e+00	0.00000000e+00
1155	elongate_3	ribosome	40	terminate	0.00000000e+00	1.00000000e+00
1156	terminate	ribosome	40	terminate	1.00000000e+00	0.00000000e+00
1157	elongate_1	ribosome	12	elongate_1	3.00000000e+00	2.00000000e+00
1157	elongate_1	ribosome	12	elongate_2	0.00000000e+00	1.00000000e+00
1158	elongate_2	ribosome	12	elongate_2	1.00000000e+00	0.00000000e+00
1158	elongate_2	ribosome	12	elongate_3	0.00000000e+00	1.00000000e+00
1160	elongate_3	ribosome	12	elongate_3	1.00000000e+00	0.00000000e+00
1160	elongate_3	ribosome	12	terminate	0.00000000e+00	1.00000000e+00
1161	elongate_1	ribosome	94	elongate_1	2.00000000e+00	1.00000000e+00
1161	elongate_1	ribosome	94	elongate_2	0.00000000e+00	1.00000000e+00
1162	terminate	ribosome	12	terminate	1.00000000e+00	0.00000000e+00
1163	elongate_1	ribosome	88	elongate_1	1.00000000e+00	0.00000000e+00
1163	elongate_1	ribosome	88	elongate_2	1.00000000e+00	2.00000000e+00
1165	elongate_2	ribosome	88	elongate_2	2.00000000e+00	1.00000000e+00
1165	elongate_2	ribosome	88	elongate_3	0.00000000e+00	1.00000000e+00
1166	initiate	ribosome	67	elongate_1	0.00000000e+00	1.00000000e+00
1167	elongate_3	ribosome	88	elongate_3	1.00000000e+00	0.00000000e+00
1167	elongate_3	ribosome	88	terminate	0.00000000e+00	1.00000000e+00
1168	elongate_1	ribosome	67	elongate_1	1.00000000e+00	0.00000000e+00
1168	elongate_1	ribosome	67	elongate_2	1.00000000e+00	2.00000000e+00
1170	elongate_2	ribosome	67	elongate_2	2.00000000e+00	1.00000000e+00
1170	elongate_2	ribosome	67	elongate_3	0.00000000e+00	1.00000000e+00
1171	elongate_2	ribosome	94	elongate_2	1.00000000e+00	0.00000000e+00
1171	elongate_2	ribosome	94	elongate_3	1.00000000e+00	2.00000000e+00
1172	elongate_3	ribosome	67	elongate_3	2.00000000e+00	1.00000000e+00
1172	elongate_3	ribosome	67	terminate	1.00000000e+00	2.00000000e+00
1173	initiate	ribosome	64	elongate_1	0.00000000e+00	1.00000000e+00
1174	terminate	ribosome	67	terminate	2.00000000e+00	1.00000000e+00
1175	elongate_1	ribosome	64	elongate_1	1.00000000e+00	0.00000000e+00
1175	elongate_1	ribosome	64	elongate_2	0.00000000e+00	1.00000000e+00
1176	terminate	ribosome	88	terminate	1.00000000e+00	0.00000000e+00
1177	initiate	ribosome	81	elongate_1	0.00000000e+00	1.00000000e+00
1178	elongate_3	ribosome	94	elongate_3	1.00000000e+00	0.00000000e+00
1178	elongate_3	ribosome	94	terminate	0.00000000e+00	1.00000000e+00
1179	initiate	ribosome	12	elongate_1	1.00000000e+00	2.00000000e+00
1180	elongate_2	ribosome	64	elongate_2	1.00000000e+00	0.00000000e+00
1180	elongate_2	ribosome	64	elongate_3	0.00000000e+00	1.00000000e+00
1181	initiate	ribosome	73	elongate_1	2.00000000e+00	3.00000000e+00
1182	initiate	ribosome	27	elongate_1	3.00000000e+00	4.00000000e+00
1183	elongate_1	ribosome	27	elongate_1	4.00000000e+00	3.00000000e+00
1183	elongate_1	ribosome	27	elongate_2	0.00000000e+00	1.00000000e+00
1184	elongate_1	ribosome	12	elongate_1	3.00000000e+00	2.00000000e+00
1184	elongate_1	ribosome	12	elongate_2	1.00000000e+00	2.00000000e+00
1185	terminate	ribosome	94	terminate	1.00000000e+00	0.00000000e+00
1186	initiate	ribosome	17	elongate_1	2.00000000e+00	3.00000000e+00
1187	elongate_1	ribosome	17	elongate_1	3.00000000e+00	2.00000000e+00
1188	elongate_2	ribosome	12	elongate_2	2.00000000e+00	1.00000000e+00
1188	elongate_2	ribosome	12	elongate_3	1.00000000e+00	2.00000000e+00
1189	elongate_2	ribosome	27	elongate_2	1.00000000e+00	0.00000000e+00
1189	elongate_2	ribosome	27	elongate_3	2.00000000e+00	3.00000000e+00
1190	elongate_1	ribosome	81	elongate_1	2.00000000e+00	1.00000000e+00
1190	elongate_1	ribosome	81	elongate_2	0.00000000e+00	1.00000000e+00
1191	elongate_3	ribosome	12	elongate_3	3.00000000e+00	2.00000000e+00
